trace_file,l1_size,l1_assoc,l2_size,l2_assoc,prefetch,policy,l1_i_total_accesses,l1_i_reads,l1_i_writes,l1_i_hits,l1_i_misses,l1_i_write_backs,l1_i_hit_rate,l1_i_miss_rate,l1_i_amat,l1_i_split_accesses,l1_d_total_accesses,l1_d_reads,l1_d_writes,l1_d_hits,l1_d_misses,l1_d_write_backs,l1_d_hit_rate,l1_d_miss_rate,l1_d_amat,l1_d_split_accesses,l2_total_accesses,l2_reads,l2_writes,l2_hits,l2_misses,l2_write_backs,l2_hit_rate,l2_miss_rate,l2_amat,l2_split_accesses
trace_sq.txt,32768,2,1048576,8,OFF,LRU,1236538,1236538,0,1235020,1518,0,99.8772,0.122762,4.17822,63577,416883,310550,106333,405208,11675,2399,97.1995,2.80055,7.49912,60,15592,13193,2399,8186,7406,3,52.5013,47.4987,109.997,0
trace_sq.txt,32768,4,1048576,8,OFF,LRU,1236538,1236538,0,1235138,1400,0,99.8868,0.113219,4.17678,63577,416883,310550,106333,405922,10961,2189,97.3707,2.62927,7.47343,60,14550,12361,2189,7144,7406,3,49.0997,50.9003,116.801,0
trace_sq.txt,32768,8,1048576,8,OFF,LRU,1236538,1236538,0,1235211,1327,0,99.8927,0.107316,4.1759,63577,416883,310550,106333,406157,10726,2166,97.4271,2.5729,7.46498,60,14219,12053,2166,6813,7406,4,47.9148,52.0852,119.17,0
trace_str.txt,8192,1,1048576,8,OFF,LRU,1976862,1976862,0,1956021,20841,0,98.9458,1.05425,4.35097,101402,680460,503495,176965,586146,94314,24281,86.1397,13.8603,8.69463,150,139436,115155,24281,128631,10805,28,92.2509,7.74907,30.4981,0
trace_str.txt,8192,2,1048576,8,OFF,LRU,1976862,1976862,0,1965604,11258,0,99.4305,0.569488,4.27825,101402,680460,503495,176965,621067,59393,12104,91.2716,8.72836,7.92484,150,82755,70651,12104,71950,10805,28,86.9434,13.0566,41.1132,0
trace_str.txt,8192,4,1048576,8,OFF,LRU,1976862,1976862,0,1968267,8595,0,99.5652,0.43478,4.25805,101402,680460,503495,176965,640372,40088,8421,94.1087,5.89131,7.49928,150,57104,48683,8421,46299,10805,28,81.0784,18.9216,52.8432,0
trace_str.txt,8192,8,1048576,8,OFF,LRU,1976862,1976862,0,1971738,5124,0,99.7408,0.259199,4.23171,101402,680460,503495,176965,644693,35767,6846,94.7437,5.2563,7.40403,150,47737,40891,6846,36932,10805,28,77.3656,22.6344,60.2689,0
trace_str.txt,16384,1,1048576,8,OFF,LRU,1976862,1976862,0,1971585,5277,0,99.7331,0.266938,4.23287,101402,680460,503495,176965,641000,39460,7755,94.201,5.79902,7.48544,150,52492,44737,7755,41687,10805,28,79.4159,20.5841,56.1682,0
trace_str.txt,16384,2,1048576,8,OFF,LRU,1976862,1976862,0,1973074,3788,0,99.8084,0.191617,4.22157,101402,680460,503495,176965,645866,34594,6313,94.9161,5.08391,7.37788,150,44695,38382,6313,33891,10804,28,75.8273,24.1727,63.3455,0
trace_str.txt,16384,4,1048576,8,OFF,LRU,1976862,1976862,0,1973418,3444,0,99.8258,0.174215,4.21896,101402,680460,503495,176965,656851,23609,3987,96.5304,3.46956,7.13602,150,31040,27053,3987,20235,10805,28,65.1901,34.8099,84.6198,0
trace_str.txt,16384,8,1048576,8,OFF,LRU,1976862,1976862,0,1973467,3395,0,99.8283,0.171737,4.21859,101402,680460,503495,176965,659675,20785,3671,96.9454,3.05455,7.07377,150,27851,24180,3671,17046,10805,28,61.2043,38.7957,92.5915,0
trace_str.txt,32768,1,1048576,8,OFF,LRU,1976862,1976862,0,1973410,3452,0,99.8254,0.17462,4.21902,101402,680460,503495,176965,654142,26318,5589,96.1323,3.86768,7.19574,150,35359,29770,5589,24554,10805,28,69.442,30.558,76.116,0
trace_str.txt,32768,2,1048576,8,OFF,LRU,1976862,1976862,0,1974006,2856,0,99.8555,0.144471,4.2145,101402,680460,503495,176965,661064,19396,3490,97.1496,2.85042,7.04285,150,25742,22252,3490,14938,10804,28,58.0297,41.9703,98.9406,0
trace_str.txt,32768,4,1048576,8,OFF,LRU,1976862,1976862,0,1974338,2524,0,99.8723,0.127677,4.21198,101402,680460,503495,176965,662158,18302,3210,97.3103,2.68965,7.01727,150,24036,20826,3210,13237,10799,26,55.0716,44.9284,104.857,0
trace_str.txt,32768,8,1048576,8,OFF,LRU,1976862,1976862,0,1974455,2407,0,99.8782,0.121759,4.2112,101402,680460,503495,176965,662544,17916,3175,97.3671,2.63292,7.00993,150,23498,20323,3175,12694,10804,27,54.0216,45.9784,106.957,0
