trace_file,l1_size,l1_assoc,l2_size,l2_assoc,prefetch,policy,l1_i_total_accesses,l1_i_reads,l1_i_writes,l1_i_hits,l1_i_misses,l1_i_write_backs,l1_i_hit_rate,l1_i_miss_rate,l1_i_amat,l1_i_split_accesses,l1_d_total_accesses,l1_d_reads,l1_d_writes,l1_d_hits,l1_d_misses,l1_d_write_backs,l1_d_hit_rate,l1_d_miss_rate,l1_d_amat,l1_d_split_accesses,l2_total_accesses,l2_reads,l2_writes,l2_hits,l2_misses,l2_write_backs,l2_hit_rate,l2_miss_rate,l2_amat,l2_split_accesses
trace_rd,8192,1,1048576,8,OFF,LRU,2077327,2077327,0,2052454,24873,0,98.8026,1.19736,4.36378,107303,729824,533156,196668,635106,94718,24572,87.0218,12.9782,8.38677,148,144163,119591,24572,133346,10817,28,92.4967,7.50331,30.0066,0
trace_sq,8192,1,1048576,8,OFF,LRU,1236538,1236538,0,1224081,12457,0,98.9926,1.00741,4.31091,63577,416883,310550,106333,359285,57598,14637,86.1837,13.8163,9.15149,60,84692,70055,14637,77286,7406,3,91.2554,8.74463,32.4893,0
trace_str,8192,1,1048576,8,OFF,LRU,1976862,1976862,0,1956021,20841,0,98.9458,1.05425,4.35097,101402,680460,503495,176965,586146,94314,24281,86.1397,13.8603,8.69463,150,139436,115155,24281,128631,10805,28,92.2509,7.74907,30.4981,0
