trace_file,l1_size,l1_assoc,l2_size,l2_assoc,prefetch,policy,l1_i_total_accesses,l1_i_reads,l1_i_writes,l1_i_hits,l1_i_misses,l1_i_write_backs,l1_i_hit_rate,l1_i_miss_rate,l1_i_amat,l1_i_split_accesses,l1_d_total_accesses,l1_d_reads,l1_d_writes,l1_d_hits,l1_d_misses,l1_d_write_backs,l1_d_hit_rate,l1_d_miss_rate,l1_d_amat,l1_d_split_accesses,l2_total_accesses,l2_reads,l2_writes,l2_hits,l2_misses,l2_write_backs,l2_hit_rate,l2_miss_rate,l2_amat,l2_split_accesses
trace_rd,32768,8,1048576,8,OFF,LRU,2077327,2077327,0,2074934,2393,0,99.8848,0.115196,4.20155,107303,729824,533156,196668,711897,17927,3178,97.5437,2.45635,6.80767,148,23498,20320,3178,12683,10815,27,53.9748,46.0252,107.05,0
trace_sq,32768,8,1048576,8,OFF,LRU,1236538,1236538,0,1235211,1327,0,99.8927,0.107316,4.1759,63577,416883,310550,106333,406157,10726,2166,97.4271,2.5729,7.46498,60,14219,12053,2166,6813,7406,4,47.9148,52.0852,119.17,0
trace_str,32768,8,1048576,8,OFF,LRU,1976862,1976862,0,1974455,2407,0,99.8782,0.121759,4.2112,101402,680460,503495,176965,662544,17916,3175,97.3671,2.63292,7.00993,150,23498,20323,3175,12694,10804,27,54.0216,45.9784,106.957,0
