trace_file,l1_size,l1_assoc,policy,l1_d_amat_off,l1_d_amat_on,amat_delta,amat_improvement_pct,l1_d_hit_rate_off,l1_d_hit_rate_on,hitrate_delta,l1_d_miss_rate_off,l1_d_miss_rate_on,missrate_delta,l2_total_accesses_off,l2_total_accesses_on,l2_access_delta,l2_amat_off,l2_amat_on
trace_str,8192,4,LRU,7.49928,6.36256,1.1367199999999995,15.157721807960225,94.1087,93.1102,-0.9984999999999928,5.89131,6.88975,-0.9984400000000004,57104,107889,50785,52.8432,37.4249
trace_str,8192,8,LRU,7.40403,6.36061,1.0434199999999993,14.092595518926846,94.7437,93.1899,-1.5538000000000096,5.2563,6.8101,-1.5537999999999998,47737,100810,53073,60.2689,38.9817
trace_str,16384,1,LRU,7.48544,6.22746,1.2579799999999999,16.805692116963066,94.201,94.2108,0.009800000000012687,5.79902,5.78917,0.009849999999999248,52492,87911,35419,56.1682,42.4846
trace_str,16384,2,LRU,7.37788,6.1757,1.2021800000000002,16.29438266819195,94.9161,94.8733,-0.04279999999999973,5.08391,5.12668,-0.042769999999999975,44695,73494,28799,63.3455,47.8435
trace_str,16384,4,LRU,7.13602,5.92607,1.20995,16.955529833156298,96.5304,96.7491,0.21869999999999834,3.46956,3.25089,0.21866999999999992,31040,49158,18118,84.6198,64.05
trace_str,16384,8,LRU,7.07377,5.85512,1.2186499999999993,17.227730050595362,96.9454,97.3828,0.4373999999999967,3.05455,2.6172,0.4373499999999999,27851,41890,14039,92.5915,72.4934
trace_str,32768,1,LRU,7.19574,5.96213,1.2336099999999997,17.14361552807633,96.1323,96.3951,0.2627999999999986,3.86768,3.60491,0.26277000000000017,35359,55579,20220,76.116,58.4049
trace_str,32768,2,LRU,7.04285,5.82776,1.21509,17.252816686426662,97.1496,97.5985,0.44889999999999475,2.85042,2.40146,0.44896,25742,37545,11803,98.9406,79.1896
trace_str,32768,4,LRU,7.01727,5.80983,1.20744,17.20669149113544,97.3103,97.8102,0.4998999999999967,2.68965,2.18984,0.4998100000000001,24036,34307,10271,104.857,85.2014
trace_str,32768,8,LRU,7.00993,5.80271,1.2072199999999995,17.22156997288132,97.3671,97.9047,0.5376000000000118,2.63292,2.09535,0.5375700000000001,23498,33172,9674,106.957,87.5853
